Rok,Miesiąc,Analogiczny miesiąc poprzedniego roku = 100,Analogiczny okres narastający poprzedniego roku = 100,Grudzień poprzedniego roku = 100,Poprzedni miesiąc = 100,Rok poprzedni = 100
2015,1,98.6,98.6,99.8,99.8,98.9
2015,2,98.4,98.5,99.6,99.9,98.8
2015,3,98.5,98.5,99.8,100.2,99.0
2015,4,98.9,98.6,100.3,100.4,99.4
2015,5,99.1,98.7,100.3,100.0,99.4
2015,6,99.2,98.8,100.3,100.0,99.5
2015,7,99.3,98.8,100.2,99.9,99.4
2015,8,99.4,98.9,99.9,99.6,99.0
2015,9,99.2,98.9,99.6,99.7,98.8
2015,10,99.3,99.0,99.7,100.1,98.9
2015,11,99.4,99.0,99.6,99.9,98.8
2015,12,99.5,99.1,99.5,99.8,98.7
2016,1,99.1,99.1,99.5,99.5,99.1
2016,2,99.2,99.1,99.4,99.9,98.9
2016,3,99.1,99.1,99.5,100.1,99.1
2016,4,98.9,99.1,99.8,100.3,99.3
2016,5,99.1,99.1,99.9,100.1,99.5
2016,6,99.2,99.1,100.1,100.2,99.7
2016,7,99.1,99.1,99.8,99.7,99.4
2016,8,99.2,99.1,99.5,99.8,99.1
2016,9,99.5,99.1,99.5,100.0,99.1
2016,10,99.8,99.2,100.1,100.5,99.6
2016,11,100.0,99.3,100.2,100.1,99.7
2016,12,100.8,99.4,100.8,100.7,100.4
2017,1,101.7,101.7,100.4,100.4,101.4
2017,2,102.2,102.0,100.7,100.3,101.7
2017,3,102.0,102.0,100.7,99.9,101.6
2017,4,102.0,102.0,100.9,100.3,101.9
2017,5,101.9,102.0,101.0,100.0,102.0
2017,6,101.5,101.9,100.8,99.8,101.8
2017,7,101.7,101.9,100.6,99.8,101.6
2017,8,101.8,101.9,100.5,99.9,101.5
2017,9,102.2,101.9,100.9,100.4,101.9
2017,10,102.1,101.9,101.4,100.5,102.4
2017,11,102.5,102.0,101.9,100.5,102.9
2017,12,102.1,102.0,102.1,100.2,103.1
2018,1,101.9,101.9,100.3,100.3,101.3
2018,2,101.4,101.6,100.1,99.8,101.1
2018,3,101.3,101.5,100.0,99.9,101.0
2018,4,101.6,101.5,100.5,100.5,101.5
2018,5,101.7,101.6,100.6,100.2,101.7
2018,6,102.0,101.6,100.7,100.1,101.8
2018,7,102.0,101.7,100.6,99.8,101.6
2018,8,102.0,101.7,100.5,100.0,101.6
2018,9,101.9,101.7,100.7,100.2,101.8
2018,10,101.8,101.7,101.1,100.4,102.2
2018,11,101.3,101.7,101.1,100.0,102.2
2018,12,101.1,101.6,101.1,100.0,102.1
2019,1,100.7,100.7,99.8,99.8,100.4
2019,2,101.2,101.0,100.2,100.4,100.7
2019,3,101.7,101.2,100.5,100.3,101.1
2019,4,102.2,101.5,101.6,101.1,102.2
2019,5,102.4,101.7,101.9,100.2,102.4
2019,6,102.6,101.8,102.2,100.3,102.7
2019,7,102.9,102.0,102.2,100.0,102.8
2019,8,102.9,102.1,102.2,100.0,102.8
2019,9,102.6,102.1,102.2,100.0,102.7
2019,10,102.5,102.2,102.4,100.2,103.0
2019,11,102.6,102.2,102.5,100.1,103.1
2019,12,103.4,102.3,103.4,100.8,103.9
2020,1,104.3,104.3,100.9,100.9,102.4
2020,2,104.7,104.5,101.6,100.7,103.1
2020,3,104.6,104.5,101.8,100.2,103.3
2020,4,103.4,104.2,101.7,99.9,103.3
2020,5,102.9,104.0,101.5,99.8,103.0
2020,6,103.3,103.9,102.1,100.6,103.7
2020,7,103.0,103.7,101.9,99.8,103.5
2020,8,102.9,103.6,101.8,99.9,103.3
2020,9,103.2,103.6,102.0,100.2,103.6
2020,10,103.1,103.5,102.2,100.1,103.7
2020,11,103.0,103.5,102.2,100.1,103.8
2020,12,102.4,103.4,102.4,100.1,103.9
2021,1,102.6,102.6,101.3,101.3,101.8
2021,2,102.4,102.5,101.8,100.5,102.3
2021,3,103.2,102.7,102.8,101.0,103.3
2021,4,104.3,103.1,103.6,100.8,104.1
2021,5,104.7,103.5,103.9,100.3,104.4
2021,6,104.4,103.6,104.0,100.1,104.5
2021,7,105.0,103.8,104.5,100.4,105.0
2021,8,105.5,104.0,104.8,100.3,105.3
2021,9,105.9,104.2,105.5,100.7,106.0
2021,10,106.8,104.5,106.6,101.1,107.1
2021,11,107.8,104.8,107.6,101.0,108.2
2021,12,108.6,105.1,108.6,100.9,109.2
2022,1,109.4,109.4,101.9,101.9,106.0
2022,2,108.5,109.0,101.6,99.7,105.6
2022,3,111.0,109.7,104.9,103.3,109.1
2022,4,112.4,110.3,107.0,102.0,111.3
2022,5,113.9,111.1,108.8,101.7,113.1
2022,6,115.5,111.8,110.4,101.5,114.8
2022,7,115.6,112.4,110.9,100.5,115.4
2022,8,116.1,112.8,111.8,100.8,116.3
2022,9,117.2,113.3,113.6,101.6,118.1
2022,10,117.9,113.8,115.6,101.8,120.2
2022,11,117.5,114.1,116.4,100.7,121.1
2022,12,116.6,114.4,116.6,100.1,121.2
2023,1,116.6,116.6,102.5,102.5,108.6
2023,2,118.4,117.5,103.8,101.2,109.9
2023,3,116.1,117.0,104.9,101.1,111.2
2023,4,114.7,116.4,105.7,100.7,111.9
2023,5,113.0,115.7,105.7,100.0,112.0
2023,6,111.5,115.0,105.7,100.0,112.0
2023,7,110.8,114.4,105.5,99.8,111.7
2023,8,110.1,113.8,105.5,100.0,111.8
2023,9,108.2,113.2,105.1,99.6,111.3
2023,10,106.6,112.5,105.3,100.3,111.6
2023,11,106.6,111.9,106.1,100.7,112.3
2023,12,106.2,111.4,106.2,100.1,112.4
2024,1,103.7,103.7,100.4,100.4,101.3
2024,2,102.8,103.3,100.7,100.3,101.6
2024,3,102.0,102.8,100.9,100.2,101.8
2024,4,102.4,102.7,102.0,101.1,102.9
