Rok,Miesiąc,Analogiczny miesiąc poprzedniego roku = 100,Analogiczny okres narastający poprzedniego roku = 100,Grudzień poprzedniego roku = 100,Poprzedni miesiąc = 100,Rok poprzedni = 100
1982,1,153.2,,,106.6,
1982,2,206.4,,,136.3,
1982,3,210.7,,,105.8,
1982,4,204.1,,,103.1,
1982,5,208.4,,,102.7,
1982,6,211.9,,,100.9,
1982,7,213.3,,,103.9,
1982,8,214.9,,,99.4,
1982,9,208.5,,,100.3,
1982,10,201.0,,,101.4,
1982,11,197.9,,,100.9,
1982,12,175.0,,,100.8,
1983,1,167.3,,,101.9,
1983,2,131.5,,,107.2,
1983,3,126.7,,,101.9,
1983,4,126.9,,,103.2,
1983,5,124.7,,,101.0,
1983,6,123.0,,,99.5,
1983,7,119.2,,,100.6,
1983,8,119.3,,,99.6,
1983,9,118.8,,,99.8,
1983,10,118.5,,,101.1,
1983,11,118.2,,,100.7,
1983,12,118.2,,,100.7,
1984,1,115.6,,,100.9,
1984,2,113.4,,,103.9,
1984,3,112.4,,,101.2,
1984,4,111.4,,,101.9,
1984,5,112.1,,,101.1,
1984,6,112.9,,,100.7,
1984,7,113.7,,,100.6,
1984,8,112.5,,,98.3,
1984,9,112.8,,,99.9,
1984,10,112.6,,,100.9,
1984,11,113.5,,,101.6,
1984,12,114.2,,,101.5,
1985,1,113.2,,,101.0,
1985,2,110.3,,,101.1,
1985,3,111.9,,,102.0,
1985,4,111.6,,,102.0,
1985,5,111.8,,,101.2,
1985,6,113.0,,,102.1,
1985,7,115.1,,,101.9,
1985,8,115.4,,,99.7,
1985,9,115.9,,,100.7,
1985,10,116.1,,,100.9,
1985,11,115.8,,,101.1,
1985,12,116.7,,,101.9,
1986,1,117.1,,,102.0,
1986,2,117.8,,,101.5,
1986,3,118.0,,,102.7,
1986,4,119.2,,,103.0,
1986,5,120.5,,,101.6,
1986,6,118.2,,,100.9,
1986,7,114.4,,,98.2,
1986,8,115.2,,,100.0,
1986,9,116.3,,,101.6,
1986,10,117.9,,,102.2,
1986,11,117.5,,,101.0,
1986,12,117.1,,,101.3,
1987,1,118.1,118.1,103.4,103.4,
1987,2,119.2,118.6,105.8,102.3,
1987,3,117.9,118.8,107.7,101.8,
